,ad_creative_body,count
97,Order the exclusive Cops for Trump hat today! Proudly made in the USA!,3984
98,"Shop our EXCLUSIVE Trump-Pence 2020 Mug.

Order now while supplies last!",3968
99,"For the very first time ever, you can now CUSTOMIZE our Trump-Pence 2020 Yard Signs! 

We only have an EXTREMELY limited supply, so be sure to get yours NOW before they're gone. 

Please contribute $45 by 11:59 PM TONIGHT and we'll send you your very own PERSONALIZED Trump-Pence 2020 Yard Sign!",3965
100,"IOWA, you can now vote early.",3932
101,"🙏 Join the Trump Prayer Force 🙏

Sign up below to join the Trump Prayer Force and support the President.

President Trump needs your support to help guide our country through this trying time.",3927
102,"JUST RELEASED: The Official 'Cops for Trump' Hat!

Make a statement about YOUR support for President Trump in 2020 
with the OFFICIAL 'Cops for Trump' Hat. 

SHOP NOW while supplies last!",3875
103,"YOU WON!

President Trump has a signed photo for you with a personal note. Claim your photo NOW!",3860
104,Your mission is simple. Shop the OFFICIAL Space Force Merch TODAY.,3791
105,"BREAKING NEWS: President Trump Announced He Is Formally Designating the KKK and ANTIFA as TERRORIST ORGANIZATIONS. 

Unlike Joe Biden, he will not stand by and allow dangerous MOBS like Antifa run through our streets and cause absolute mayhem by way of RIOTING and LOOTING. 

This is just one of many ways President Trump is FIGHTING FOR YOU and your family. 

We're calling on YOU to make a public statement and add your name to stand with President Trump against the KKK and ANTIFA,",3773
106,"Crooked Hillary held a virtual fundraiser for Sleepy Joe and brought in $2 MILLION in a single night. 

She’s still so bitter that she lost BIG TIME in 2016, so now she’s trying to get revenge by helping elect a fellow crook and BIG GOVERNMENT SOCIALIST.

She’s recruiting Liberals to unite behind their pathetic candidate to try and take us down. For the NEXT HOUR, all contributions made will be 500%-MATCHED.

DONATE NOW!",3764
107,"The United States is doing VERY WELL, thanks to President Trump's STRONG leadership.

We cannot trust the left-wing media to report the TRUTH, which is why President Trump is counting on Patriots, like YOU, to help us break through the Fake News filter.

Please take the Official Trump Approval Poll NOW to tell us what you think.",3734
108,"If we miss our May fundraising goal, we won't have the resources we need to fight back against the Do-Nothing Democrats. Please contribute ANY AMOUNT by 11:59 TONIGHT.",3721
109,"We’re working around the clock to ensure we’re able to reach every single voter in America - but to be successful, we need to make sure we have the resources to support our efforts.

President Trump is calling on YOU to step up during this time and contribute to our Virtual Campaign Fund.

Please contribute ANY AMOUNT by 11:59 PM TONIGHT to our Official Virtual Campaign Fund so that we can WIN BIG in November!",3679
110,"We're going to broadcast the names of ALL supporters who donate before the President’s Acceptance Speech at the 2020 GOP Convention.

When President Trump finishes his speech, we'll hand him an OFFICIAL PRINTED LIST with YOUR name on it. 

Contribute ANY AMOUNT IMMEDIATELY to get your name on the list!",3673
111,"It's America FIRST vs. America LAST, and it’s time to decide where you stand.

While President Trump has been busy fulfilling his promises and Keeping America Safe, Sleepy Joe Biden has pledged to DESTROY all of his progress and turn America into a Big Government Socialist Nation.

The Official America First Fund will be used to combat the lies of Sleepy Joe’s allies in the Fake News media and to help us secure FOUR MORE YEARS! Please contribute to the Official America First Fund NOW to help stop Joe Biden and his Big Government Socialist Agenda.",3650
112,"Show your love for President Trump while you're walking your dog with the EXCLUSIVE Trump Pence Keep America Great Dog Collar. 

Shop NOW while supplies last!",3628
113,"The Fake News and the 2020 Socialists are getting more CORRUPT by the day; they're spreading LIES about YOUR President and trying to sell the American People on their radical agendas which would RUIN our Nation. It's despicable.

The stakes couldn’t be higher, and if we're going to WIN BIG we need to do something we've never done before. This is why President Trump just asked for a phone call to discuss our 2020 Campaign Strategy. Add your name before 9PM tonight to sign up for our Official 2020 Campaign Strategy call with President.",3626
114,"Our country is facing an unprecedented time right now, but thanks to President Trump’s leadership, we will prevail! 

He truly loves this country, and he knows you do too. The US is at its strongest when we come together as one, and we have done just that. 

President Trump has asked us to reach out to YOU to get YOUR input on his agenda by taking our Official Latinos for Trump Priorities Survey. 
Please respond by 11:59 PM TONIGHT to make sure your voice is heard.",3599
